seq,title,startDate,endDate,place,realmName,area,thumbnail,gpsX,gpsY
223287,"""제7회 M 클래식 축제"" 스페셜 콘서트 ­《어떤가요 #2》",20221020,20221020,마포아트센터 아트홀맥,음악,,http://www.culture.go.kr/upload/rdf/22/09/show_2022091611492581551.jpg,126.94553370030141,37.54990185343695
221311,감괘,20221021,20221022,세종문화회관 세종대극장,무용,,http://www.culture.go.kr/upload/rdf/22/09/show_20220919461627527.jpg,126.97618027601372,37.57184452723678
225809,The Class+ 디앙상블,20221021,20221021,신영체임버홀,음악,,http://www.culture.go.kr/upload/rdf/22/10/show_202210051636574907.jpg,126.9288747015567,37.521295238027264
221446,SAC Opera Gala,20221021,20221023,예술의전당 오페라극장,기타,,http://www.culture.go.kr/upload/rdf/22/09/show_20220911391430435.PNG,127.01382705490971,37.479355991842944
225547,&lt;부유한 극장&gt; 혜화동1번지 7기동인 2022 가을페스티벌,20221021,20221030,연극실험실 혜화동 1번지,연극,,http://www.culture.go.kr/upload/rdf/22/10/show_2022100417225774128.jpg,127.00135298112083,37.586382208611134
223907,[야광명월(夜光明月)] 첼로가야금,20221021,20221021,서울돈화문국악당,국악,,http://www.culture.go.kr/upload/rdf/22/09/show_202209211083200553.png,126.99066047282316,37.577277306497805
222276,2022 리스트 국제 피아노 콩쿠르 위너 인 서울,20221022,20221022,예술의전당 IBK챔버홀,음악,,http://www.culture.go.kr/upload/rdf/22/09/show_2022090716365132788.jpg,127.01224985279421,37.47913541861038
226701,2022 롯데장학재단과 함께하는 ‘제 7회 청춘열전 출사표’ 결선 경연 개최,20221022,20221022,고양아람누리 아람극장,국악,,http://www.culture.go.kr/upload/rdf/22/10/show_202210129574142612.jpg,126.77458960267445,37.66157496278576
226361,세 여인의 바로크와 고전이야기,20221022,20221022,성남아트리움 (구 성남시민회관),음악,,http://www.culture.go.kr/upload/rdf/22/10/show_2022100814183463491.jpg,127.13905478253406,37.44498248842757
223289,"""제7회 M 클래식 축제"" M SQUARE 광장버스킹 〈#3. 新 마당놀이〉",20221022,20221022,마포아트센터,음악,,http://www.culture.go.kr/upload/rdf/22/09/show_2022091611554288068.jpg,126.94553370030141,37.54990185343695
