seq,title,startDate,endDate,place,realmName,area,thumbnail,gpsX,gpsY
221721,[집밖] 이만익-별을그리는마음,2022-09-02,2023-02-05,소마미술관,미술,서울,http://www.culture.go.kr/upload/rdf/22/09/show_202209214555819954.png,127.118013,37.51690135
221722,[집밖] 소녀_잃어버린시간에관하여,2022-09-02,2022-10-02,소마미술관,미술,서울,http://www.culture.go.kr/upload/rdf/22/09/show_202209214581764203.jpg,127.118013,37.51690135
221723,[집밖] 뒤뷔페 그리고 빌레글레,2022-10-01,2023-01-31,소마미술관,미술,서울,http://www.culture.go.kr/upload/rdf/22/09/show_2022092152984216.jpg,127.118013,37.51690135
221745,"2022 국립무형유산원 인류무형유산 초청공연 Hola, Mariachi(올라, 마리아치)",2022-10-07,2022-10-08,국립무형유산원 얼쑤마루 대공연장,음악,전북,http://www.culture.go.kr/upload/rdf/22/09/show_2022090217295746181.jpg,127.1596487,35.80985997
221841,신촌문화발전소 창작과정지원 &lt;우리는 적당히 가까워&gt;,2022-09-23,2022-10-01,신촌문화발전소,연극,서울,http://www.culture.go.kr/upload/rdf/22/09/show_202209031413759048.jpg,126.9397535,37.55796117
221902,ALPI 알피 [광명],2022-10-08,2022-10-09,광명시민회관,기타,경기,http://www.culture.go.kr/upload/rdf/22/09/show_2022090510102801233.jpg,126.8648391,37.47909028
221959,"2022 정기기획전 - &#39;선비들의 출처, 나아감과 물러남&#39;",2022-06-21,2023-02-26,유교문화박물관,미술,경북,http://www.culture.go.kr/upload/rdf/22/09/show_2022090515314898765.jpg,128.8105775,36.7024991
222081,SOUL-다섯가지 시선,2022-09-05,2022-11-04,갤러리 봄(대구),미술,대구,http://www.culture.go.kr/upload/rdf/22/09/show_202209301312268681.jpg,128.564859,35.95448034
222100,스위스 취리히 유스 심포니 오케스트라 내한 공연,2022-10-19,2022-10-19,롯데 콘서트홀,음악,서울,http://www.culture.go.kr/upload/rdf/22/09/show_2022090611221637512.jpg,127.104084,37.51364831
222133,이진화 피아노 독주회,2022-10-02,2022-10-02,예술의전당 인춘아트홀,음악,서울,http://www.culture.go.kr/upload/rdf/22/09/show_202209061338878635.jpg,127.0142116,37.48023894
222134,오스모 벤스케와 니콜라스 알트슈태트,2022-10-11,2022-10-11,롯데콘서트홀,음악,서울,http://www.culture.go.kr/upload/rdf/22/09/show_2022090613391766106.jpg,127.1044461,37.5137471
222136,김선욱의 차이콥스키 피아노 협주곡 1번,2022-10-14,2022-10-14,예술의전당,음악,서울,http://www.culture.go.kr/upload/rdf/22/09/show_2022090613421619989.jpg,127.0142116,37.48023894
222141,서울시향 우리동네 음악회 관현악,2022-10-12,2022-10-12,숭실대학교 한경직기념관,음악,서울,http://www.culture.go.kr/upload/rdf/22/09/show_2022090613555018498.jpg,126.9576674,37.49564845
222237,[파가니니 탄생 240주년] 리스트와 쇼팽이 추억하는 파가니니,2022-11-27,2022-11-27,예술의전당 콘서트홀,음악,서울,http://www.culture.go.kr/upload/rdf/22/09/show_2022090716483493742.jpg,127.011905,37.4790003
222266,"[서초문화재단] 심산 영화관 ""레 미제라블(공연실황)""",2022-10-04,2022-10-04,반포심산아트홀,기타,서울,http://www.culture.go.kr/upload/rdf/22/09/show_2022090715401315594.jpg,126.9905157,37.49885315
222276,2022 리스트 국제 피아노 콩쿠르 위너 인 서울,2022-10-22,2022-10-22,예술의전당 IBK챔버홀,음악,서울,http://www.culture.go.kr/upload/rdf/22/09/show_2022090716365132788.jpg,127.0122499,37.47913542
